,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.007,12.59,12.246,11.809,11.506,36.921,12.894,12.031,11.191,11.191,11.191,11.191,5.727
18,13.598,13.193,12.541,12.304,11.457,13.793,35.995,11.735,11.167,11.167,11.167,11.167,14.282
19,13.161,12.666,12.262,11.822,11.504,7.843,12.872,35.185,11.194,11.194,11.194,11.194,14.294
20,12.566,12.218,11.783,11.243,11.018,7.868,6.922,12.037,34.001,34.001,34.001,34.001,14.328
21,12.002,11.637,11.322,10.859,10.588,7.382,6.947,6.088,3.482,3.482,3.482,3.482,6.586
bust,35.666,37.696,39.847,41.963,43.926,26.194,24.369,22.924,21.247,21.247,21.247,21.247,13.915
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.717,7.717,7.717,7.717,30.868
