,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.969,13.448,13.054,12.195,16.564,36.905,12.885,12.023,11.179,11.179,11.179,11.179,13.021
18,13.452,13.052,12.453,12.239,10.621,13.79,35.98,11.801,11.161,11.161,11.161,11.161,13.081
19,12.993,12.531,12.13,11.761,10.639,7.848,12.868,35.158,11.181,11.181,11.181,11.181,13.064
20,12.402,12.069,11.645,11.213,10.159,7.867,6.926,12.028,34.056,34.056,34.056,34.056,13.088
21,11.831,11.487,11.171,10.802,9.725,7.388,6.945,6.086,3.474,3.474,3.474,3.474,5.359
bust,35.353,37.412,39.547,41.79,42.292,26.203,24.395,22.904,21.238,21.238,21.238,21.238,11.543
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.711,7.711,7.711,7.711,30.843
