,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,12.978,12.353,12.279,11.666,11.611,37.234,13.086,12.189,11.442,11.442,11.442,11.442,5.612
18,13.311,13.194,11.537,12.384,11.381,13.858,36.299,10.392,11.288,11.288,11.288,11.288,14.095
19,13.317,12.495,12.191,11.745,11.606,7.733,12.944,35.739,11.466,11.466,11.466,11.466,14.148
20,12.562,12.421,11.779,10.524,10.962,7.89,6.829,12.225,32.888,32.888,32.888,32.888,14.375
21,12.197,11.73,11.635,10.686,10.666,7.299,6.979,6.111,3.647,3.647,3.647,3.647,6.358
bust,35.635,37.808,40.58,42.996,43.776,25.985,23.863,23.344,21.426,21.426,21.426,21.426,14.039
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.843,7.843,7.843,7.843,31.373
