,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.966,13.43,13.056,12.184,16.571,36.921,12.894,12.031,11.191,11.191,11.191,11.191,13.002
18,13.439,13.054,12.406,12.244,10.619,13.793,35.995,11.735,11.167,11.167,11.167,11.167,13.082
19,13.002,12.523,12.127,11.758,10.643,7.843,12.872,35.185,11.194,11.194,11.194,11.194,13.059
20,12.402,12.082,11.644,11.179,10.155,7.868,6.922,12.037,34.001,34.001,34.001,34.001,13.091
21,11.841,11.493,11.187,10.795,9.728,7.382,6.947,6.088,3.482,3.482,3.482,3.482,5.35
bust,35.35,37.419,39.58,41.841,42.284,26.194,24.369,22.924,21.247,21.247,21.247,21.247,11.547
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.717,7.717,7.717,7.717,30.868
