,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,12.995,12.5,12.257,11.753,11.55,37.048,12.97,12.094,11.29,11.29,11.29,11.29,5.682
18,13.484,13.19,12.15,12.333,11.415,13.82,36.118,11.202,11.216,11.216,11.216,11.216,14.206
19,13.223,12.591,12.234,11.792,11.545,7.801,12.902,35.405,11.301,11.301,11.301,11.301,14.238
20,12.565,12.297,11.78,10.963,10.996,7.878,6.886,12.112,33.561,33.561,33.561,33.561,14.346
21,12.08,11.675,11.446,10.792,10.618,7.339,6.961,6.098,3.546,3.546,3.546,3.546,6.498
bust,35.653,37.746,40.133,42.367,43.875,26.114,24.163,23.09,21.319,21.319,21.319,21.319,13.963
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.767,7.767,7.767,7.767,31.068
