,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.009,12.601,12.244,11.816,11.501,36.905,12.885,12.023,11.179,11.179,11.179,11.179,5.733
18,13.612,13.194,12.588,12.301,11.464,13.79,35.98,11.801,11.161,11.161,11.161,11.161,14.292
19,13.153,12.675,12.265,11.825,11.499,7.848,12.868,35.158,11.181,11.181,11.181,11.181,14.3
20,12.566,12.209,11.784,11.278,11.02,7.867,6.926,12.028,34.056,34.056,34.056,34.056,14.326
21,11.992,11.632,11.306,10.867,10.585,7.388,6.945,6.086,3.474,3.474,3.474,3.474,6.596
bust,35.668,37.689,39.812,41.914,43.931,26.203,24.395,22.904,21.238,21.238,21.238,21.238,13.909
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.711,7.711,7.711,7.711,30.843
