,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.004,12.568,12.249,11.795,11.518,36.953,12.913,12.047,11.216,11.216,11.216,11.216,5.716
18,13.569,13.192,12.444,12.311,11.446,13.8,36.026,11.602,11.179,11.179,11.179,11.179,14.263
19,13.176,12.646,12.255,11.814,11.515,7.833,12.88,35.24,11.221,11.221,11.221,11.221,14.28
20,12.566,12.238,11.782,11.174,11.012,7.871,6.913,12.056,33.892,33.892,33.892,33.892,14.333
21,12.022,11.647,11.353,10.842,10.596,7.37,6.951,6.09,3.498,3.498,3.498,3.498,6.564
bust,35.663,37.709,39.918,42.063,43.914,26.174,24.317,22.965,21.265,21.265,21.265,21.265,13.927
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729,7.729,7.729,7.729,30.918
