,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.958,13.392,13.059,12.164,16.584,36.953,12.913,12.047,11.216,11.216,11.216,11.216,12.963
18,13.413,13.057,12.311,12.253,10.617,13.8,36.026,11.602,11.179,11.179,11.179,11.179,13.084
19,13.02,12.506,12.121,11.751,10.651,7.833,12.88,35.24,11.221,11.221,11.221,11.221,13.049
20,12.401,12.106,11.642,11.111,10.147,7.871,6.913,12.056,33.892,33.892,33.892,33.892,13.097
21,11.862,11.504,11.218,10.779,9.733,7.37,6.951,6.09,3.498,3.498,3.498,3.498,5.332
bust,35.345,37.435,39.648,41.942,42.268,26.174,24.317,22.965,21.265,21.265,21.265,21.265,11.557
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.729,7.729,7.729,7.729,30.918
