,2,3,4,5,6,7,8,9,10,J,Q,K,A
17,13.898,13.031,13.097,11.969,16.695,37.234,13.086,12.189,11.442,11.442,11.442,11.442,12.613
18,13.176,13.095,11.416,12.348,10.645,13.858,36.299,10.392,11.288,11.288,11.288,11.288,13.1
19,13.182,12.376,12.068,11.691,10.719,7.733,12.944,35.739,11.466,11.466,11.466,11.466,12.949
20,12.395,12.334,11.629,10.469,10.07,7.89,6.829,12.225,32.888,32.888,32.888,32.888,13.155
21,12.053,11.605,11.51,10.632,9.788,7.299,6.979,6.111,3.647,3.647,3.647,3.647,5.156
bust,35.297,37.559,40.28,42.891,42.082,25.985,23.863,23.344,21.426,21.426,21.426,21.426,11.654
blackjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.843,7.843,7.843,7.843,31.373
